"v_timeStamp","v_libraryCard","v_libraryVisits","v_itemsYear","v_scifiYear","v_DoULike_Novel","v_DoULike_YA","v_DoULike_SS","v_DoULike_Audio","v_printVsE","v_bookChoice[0]","v_bookChoice[1]","v_bookChoice[2]","v_bookChoice[3]","v_bookChoice[4]","v_bookChoice[5]","v_bookChoice[6]","v_bookChoice[7]","v_bookChoice[8]","v_bookChoice[9]","v_bookChoice[10]","v_bookChoice[11]","v_bookChoiceOthr","v_DescribU_IndProf","v_DescribU_Academic","v_DescribU_ProWriter","v_DescribU_Teacher","v_DescribU_Librarian","v_Age","v_Education","v_Gender","v_HHPeeps","v_HHIncome","v_Zip"
"2018/04/26 6:17:06 PM MDT","2","4","4","3","1","1","0","1","3","2","3","5","3","5","4","3","1","4","1","4","2","","0","0","0","0","1","4","7","1","2","2","43015"
"2018/04/26 6:19:08 PM MDT","2","4","3","2","1","1","0","1","2","3","3","2","3","2","4","1","2","3","1","3","2","","0","0","0","0","1","5","4","1","2","3","52237"
"2018/04/26 6:20:41 PM MDT","2","2","2","2","1","1","1","0","3","4","4","3","4","4","3","2","1","2","2","3","3","","0","1","0","0","0","4","7","1","1","2","46208"
"2018/04/26 6:23:43 PM MDT","2","3","3","2","1","0","1","1","3","2","4","1","3","4","4","5","2","3","4","4","3","","0","0","0","0","0","4","7","2","3","3","50265"
"2018/04/26 6:26:03 PM MDT","2","4","4","2","1","1","0","1","5","3","3","3","3","3","3","2","4","3","2","3","2","","0","0","0","0","1","5","7","1","2","-1","60136"
"2018/04/26 6:28:39 PM MDT","2","2","2","0","1","0","0","0","1","3","4","1","1","3","3","1","4","5","4","4","4","","0","0","0","1","0","7","7","1","2","3","85737"
"2018/04/26 6:35:13 PM MDT","2","2","1","1","1","1","1","1","6","3","3","2","5","3","3","1","1","2","2","2","3","","0","0","0","0","0","5","7","1","3","3","57701"
"2018/04/26 6:35:27 PM MDT","2","4","4","3","1","1","0","0","1","3","-1","5","4","5","4","1","3","3","2","4","3","","0","0","0","0","1","5","7","1","2","-1","49464"
"2018/04/26 6:37:25 PM MDT","2","4","4","2","1","1","1","1","2","2","3","4","3","2","3","1","1","2","1","2","2","If I have heard my friends talk about it or recommend it; if the cover/back description is appealing; if it is available as an audiobook (having the audiobook is a HUGE plus for me); if it's a graphic novel - for print books, this is my preferred format regardless of genre","0","0","0","1","0","4","7","1","2","3","27282"
"2018/04/26 6:38:04 PM MDT","2","4","4","3","1","1","0","0","4","3","2","5","4","4","4","3","2","2","2","4","1","No","0","0","0","0","1","3","7","1","2","2","08701"
